DIA,MES,AÑO,POSICION ARANCELARIA,DESCRIPCION ARANCELARIA,PRODUCTO,ID IMPORTADOR,IMPORTADOR,"ADUANA, ESTADO, PUERTO",PAIS DE ORIGEN,NRO DOCUMENTO,FOB USD,FOB MXN,TASA DE CAMBIO,PESO TOTAL DECLARACION,CANTIDAD ESTADISTICA,UNIDAD DE MEDIDA ESTADISTICA,CANTIDAD COMERCIAL,UNIDAD COMERCIAL,ID PROVEEDOR,SUPPLIERNAME,PAIS VENDEDOR,FECHA,PESO_KG,USD_KG
28,1,26,29400005,"Azúcares químicamente puros, excepto la sacarosa, ",AZUCARES QUIMICAMENTE PUROS ALULOSA,ID_ANONIMO,Importador 14,MANZANILLO MANZANILLO COLIMA.,CHINA,6003292,10920.0,190576,17.45,22300.0,4000,KILOGRAM,4000,Kilogram,ID_ANONIMO,Proveedor 14,CHINA,2026-01-28,4000,2.73
5,2,26,29400005,"Azúcares químicamente puros, excepto la sacarosa, ",ALULOSA EN LIQUIDO,ID_ANONIMO,Importador 5,MANZANILLO MANZANILLO COLIMA.,CHINA,6000491,97759.95,1686672,17.25,43328.0,41600,KILOGRAM,41600,Kilogram,ID_ANONIMO,Proveedor 2,UNITED STATES OF AMERICA,2026-02-05,41600,2.35
10,2,26,29400005,"Azúcares químicamente puros, excepto la sacarosa, ",JARABE DE ALULOSA ALLULOSE SYRUP,ID_ANONIMO,Importador 2,MANZANILLO MANZANILLO COLIMA.,CHINA,6000926,31999.97,552102,17.25,21200.0,20000,KILOGRAM,20000,Kilogram,ID_ANONIMO,Proveedor 9,CHINA,2026-02-10,20000,1.6
11,2,26,29400005,"Azúcares químicamente puros, excepto la sacarosa, ",ALULOSA,ID_ANONIMO,Importador 8,MANZANILLO MANZANILLO COLIMA.,CHINA,6000254,3149.99,54832,17.4,24914.0,1000,KILOGRAM,1000,Kilogram,ID_ANONIMO,Proveedor 5,HONG KONG,2026-02-11,1000,3.15
5,2,26,29400005,"Azúcares químicamente puros, excepto la sacarosa, ",ALULOSA EN LIQUIDO,ID_ANONIMO,Importador 5,MANZANILLO MANZANILLO COLIMA.,CHINA,6000490,97759.95,1686672,17.25,43328.0,41600,KILOGRAM,41600,Kilogram,ID_ANONIMO,Proveedor 2,UNITED STATES OF AMERICA,2026-02-05,41600,2.35
18,2,26,29400005,"Azúcares químicamente puros, excepto la sacarosa, ",ALULOSA EN LIQUIDO,ID_ANONIMO,Importador 12,MANZANILLO MANZANILLO COLIMA.,CHINA,6000552,4950.02,86165,17.4,23288.0,1800,KILOGRAM,1800,Kilogram,ID_ANONIMO,Proveedor 2,UNITED STATES OF AMERICA,2026-02-18,1800,2.75
16,2,26,29400005,"Azúcares químicamente puros, excepto la sacarosa, ",ALULOSA CRISTALINA DOLCIA PRIMA DS C,ID_ANONIMO,Importador 17,MANZANILLO MANZANILLO COLIMA.,CHINA,6000527,48240.01,839714,17.4,18600.0,18000,KILOGRAM,18000,Kilogram,ID_ANONIMO,Proveedor 17,CHINA,2026-02-16,18000,2.68
5,2,26,29400005,"Azúcares químicamente puros, excepto la sacarosa, ",ALULOSA EN LIQUIDO,ID_ANONIMO,Importador 5,MANZANILLO MANZANILLO COLIMA.,CHINA,6000492,48879.97,843336,17.25,42753.0,20800,KILOGRAM,20800,Kilogram,ID_ANONIMO,Proveedor 2,UNITED STATES OF AMERICA,2026-02-05,20800,2.35
16,2,26,29400005,"Azúcares químicamente puros, excepto la sacarosa, ",ALULOSA,ID_ANONIMO,Importador 6,MANZANILLO MANZANILLO COLIMA.,CHINA,6003921,56347.2,969172,17.2,21792.0,21000,KILOGRAM,840,Box,ID_ANONIMO,Proveedor 7,UNITED STATES OF AMERICA,2026-02-16,21000,2.683
16,2,26,29400005,"Azúcares químicamente puros, excepto la sacarosa, ",ALULOSA,ID_ANONIMO,Importador 7,MANZANILLO MANZANILLO COLIMA.,CHINA,6001434,8549.98,147359,17.23,19660.0,3000,KILOGRAM,3000,Kilogram,ID_ANONIMO,Proveedor 4,CHINA,2026-02-16,3000,2.85
31,3,26,29400005,"Azúcares químicamente puros, excepto la sacarosa, ",ALULOSA EN POLVO CRISTALINO 100% PURO,ID_ANONIMO,Importador 10,MANZANILLO MANZANILLO COLIMA.,CHINA,6000057,42900.0,764122,17.81,24106.2,15000,KILOGRAM,15000,Kilogram,ID_ANONIMO,Proveedor 10,UNITED STATES OF AMERICA,2026-03-31,15000,2.86
9,3,26,29400005,"Azúcares químicamente puros, excepto la sacarosa, ",ALULOSA,ID_ANONIMO,Importador 6,MANZANILLO MANZANILLO COLIMA.,CHINA,6005462,56347.17,996049,17.67,21792.0,21000,KILOGRAM,840,Box,ID_ANONIMO,Proveedor 7,UNITED STATES OF AMERICA,2026-03-09,21000,2.683
25,3,26,29400005,"Azúcares químicamente puros, excepto la sacarosa, ",D ALULOSA,ID_ANONIMO,Importador 8,MANZANILLO MANZANILLO COLIMA.,CHINA,6000476,7410.01,132171,17.83,22190.8,3000,KILOGRAM,3000,Kilogram,ID_ANONIMO,Proveedor 1,CHINA,2026-03-25,3000,2.47
19,3,26,29400005,"Azúcares químicamente puros, excepto la sacarosa, ",ALULOSA ALLULOSE,ID_ANONIMO,Importador 14,MANZANILLO MANZANILLO COLIMA.,CHINA,6001981,13649.99,236807,17.34,20966.0,5000,KILOGRAM,5000,Kilogram,ID_ANONIMO,Proveedor 15,CHINA,2026-03-19,5000,2.73
19,3,26,29400005,"Azúcares químicamente puros, excepto la sacarosa, ",ALULOSA,ID_ANONIMO,Importador 13,MANZANILLO MANZANILLO COLIMA.,CHINA,6000615,12149.99,216717,17.83,19982.0,5400,KILOGRAM,5400,Kilogram,ID_ANONIMO,Proveedor 12,CHINA,2026-03-19,5400,2.25
28,3,26,29400005,"Azúcares químicamente puros, excepto la sacarosa, ",ALULOSA,ID_ANONIMO,Importador 18,LAZARO CARDENAS LAZARO CARDENAS MICHOACAN.,CHINA,6000208,50940.59,881333,17.8,18600.0,18000,KILOGRAM,18000,Kilogram,ID_ANONIMO,Proveedor 16,CHINA,2026-03-28,18000,2.83
24,3,26,29400005,"Azúcares químicamente puros, excepto la sacarosa, ",ALULOSA,ID_ANONIMO,Importador 12,MANZANILLO MANZANILLO COLIMA.,CHINA,6000897,67252.48,1160529,17.25,19026.0,18375,KILOGRAM,18375,Kilogram,ID_ANONIMO,Proveedor 2,UNITED STATES OF AMERICA,2026-03-24,18375,3.66
11,3,26,29400005,"Azúcares químicamente puros, excepto la sacarosa, ",ALULOSA CRISTALINA DOLCIA PRIMA DS C,ID_ANONIMO,Importador 17,MANZANILLO MANZANILLO COLIMA.,CHINA,6000517,144719.99,2539040,17.54,55800.0,54000,KILOGRAM,54000,Kilogram,ID_ANONIMO,Proveedor 17,CHINA,2026-03-11,54000,2.68
17,3,26,29400005,"Azúcares químicamente puros, excepto la sacarosa, ",ALULOSA,ID_ANONIMO,Importador 18,LAZARO CARDENAS LAZARO CARDENAS MICHOACAN.,CHINA,6000164,8174.15,142523,17.65,15657.0,2700,KILOGRAM,2700,Kilogram,ID_ANONIMO,Proveedor 16,CHINA,2026-03-17,2700,3.027
2,4,26,29400005,"Azúcares químicamente puros, excepto la sacarosa, ",ALULOSA,ID_ANONIMO,Importador 12,MANZANILLO MANZANILLO COLIMA.,CHINA,6001014,5512.51,98099,17.79,39420.0,1750,KILOGRAM,1750,Kilogram,ID_ANONIMO,Proveedor 2,UNITED STATES OF AMERICA,2026-04-02,1750,3.15
15,4,26,29400005,"Azúcares químicamente puros, excepto la sacarosa, ",ALULOSA CRISTALINA DOLCIA PRIMA DS C,ID_ANONIMO,Importador 17,MANZANILLO MANZANILLO COLIMA.,CHINA,6001261,192960.0,3433376,17.79,74400.0,72000,KILOGRAM,72000,Kilogram,ID_ANONIMO,Proveedor 17,CHINA,2026-04-15,72000,2.68
10,4,26,29400005,"Azúcares químicamente puros, excepto la sacarosa, ",ALULOSA CRISTALINA,ID_ANONIMO,Importador 3,MANZANILLO MANZANILLO COLIMA.,CHINA,6001745,85199.99,1533881,18.0,41200.0,40000,KILOGRAM,40000,Kilogram,ID_ANONIMO,Proveedor 17,CHINA,2026-04-10,40000,2.13
17,4,26,29400005,"Azúcares químicamente puros, excepto la sacarosa, ",ALULOSA EN POLVO ALLULOSE POWDER,ID_ANONIMO,Importador 2,MANZANILLO MANZANILLO COLIMA.,CHINA,6002480,54287.98,965957,17.79,24200.8,23400,KILOGRAM,23400,Kilogram,ID_ANONIMO,Proveedor 9,CHINA,2026-04-17,23400,2.32
10,4,26,29400005,"Azúcares químicamente puros, excepto la sacarosa, ",ALULOSA,ID_ANONIMO,Importador 6,MANZANILLO MANZANILLO COLIMA.,CHINA,6008775,56347.22,1014436,18.0,21792.0,21000,KILOGRAM,840,Box,ID_ANONIMO,Proveedor 7,UNITED STATES OF AMERICA,2026-04-10,21000,2.683
28,4,26,29400005,"Azúcares químicamente puros, excepto la sacarosa, ",AZUCARES QUIMICAMENTE PUROS ALULOSA,ID_ANONIMO,Importador 14,MANZANILLO MANZANILLO COLIMA.,CHINA,6001278,13650.0,235767,17.27,22086.0,5000,KILOGRAM,5000,Kilogram,ID_ANONIMO,Proveedor 15,CHINA,2026-04-28,5000,2.73
8,4,26,29400005,"Azúcares químicamente puros, excepto la sacarosa, ",ALULOSA EN LIQUIDO,ID_ANONIMO,Importador 5,MANZANILLO MANZANILLO COLIMA.,CHINA,6001012,48880.01,869854,17.79,42919.0,20800,KILOGRAM,20800,Kilogram,ID_ANONIMO,Proveedor 2,UNITED STATES OF AMERICA,2026-04-08,20800,2.35
14,4,26,29400005,"Azúcares químicamente puros, excepto la sacarosa, ",ALULOSA CRISTALINA,ID_ANONIMO,Importador 3,MANZANILLO MANZANILLO COLIMA.,CHINA,6001742,85199.97,1479012,17.35,41200.0,40000,KILOGRAM,40000,Kilogram,ID_ANONIMO,Proveedor 17,CHINA,2026-04-14,40000,2.13
17,4,26,29400005,"Azúcares químicamente puros, excepto la sacarosa, ",JARABE DE ALULOSA ALLULOSE SYRUP,ID_ANONIMO,Importador 2,MANZANILLO MANZANILLO COLIMA.,CHINA,6002864,63999.98,1110995,17.35,42400.0,40000,KILOGRAM,40000,Kilogram,ID_ANONIMO,Proveedor 9,CHINA,2026-04-17,40000,1.6
2,4,26,29400005,"Azúcares químicamente puros, excepto la sacarosa, ",ALULOSA EN POLVO D ALLULOSE ISOMALTITOL ISOMALT JARABE DE ALULOSA ALLULOSE SYRUP,ID_ANONIMO,Importador 9,MANZANILLO MANZANILLO COLIMA.,CHINA,6001911,60406.01,1077450,17.83,25496.0,24800,KILOGRAM,24800,Kilogram,ID_ANONIMO,Proveedor 11,CHINA,2026-04-02,24800,2.436
10,4,26,29400005,"Azúcares químicamente puros, excepto la sacarosa, ",ALULOSA CRISTALINA,ID_ANONIMO,Importador 3,MANZANILLO MANZANILLO COLIMA.,CHINA,6001744,85199.99,1533881,18.0,41200.0,40000,KILOGRAM,40000,Kilogram,ID_ANONIMO,Proveedor 17,CHINA,2026-04-10,40000,2.13
2,4,26,29400005,"Azúcares químicamente puros, excepto la sacarosa, ",JARABE DE ALULOSA ALLULOSE SYRUP,ID_ANONIMO,Importador 2,MANZANILLO MANZANILLO COLIMA.,CHINA,6002086,64000.01,1138925,17.79,42400.0,40000,KILOGRAM,40000,Kilogram,ID_ANONIMO,Proveedor 9,CHINA,2026-04-02,40000,1.6
17,4,26,29400005,"Azúcares químicamente puros, excepto la sacarosa, ",ALULOSA CRISTALINA,ID_ANONIMO,Importador 3,MANZANILLO MANZANILLO COLIMA.,CHINA,6001746,85199.97,1479012,17.35,41200.0,40000,KILOGRAM,40000,Kilogram,ID_ANONIMO,Proveedor 17,CHINA,2026-04-17,40000,2.13
17,4,26,29400005,"Azúcares químicamente puros, excepto la sacarosa, ",ALULOSA CRISTALINA,ID_ANONIMO,Importador 3,MANZANILLO MANZANILLO COLIMA.,CHINA,6001747,85199.97,1479012,17.35,41200.0,40000,KILOGRAM,40000,Kilogram,ID_ANONIMO,Proveedor 17,CHINA,2026-04-17,40000,2.13
21,4,26,29400005,"Azúcares químicamente puros, excepto la sacarosa, ",ALULOSA EN LIQUIDO,ID_ANONIMO,Importador 12,MANZANILLO MANZANILLO COLIMA.,CHINA,6001141,8799.98,151996,17.27,21516.0,3200,KILOGRAM,3200,Kilogram,ID_ANONIMO,Proveedor 2,UNITED STATES OF AMERICA,2026-04-21,3200,2.75
8,4,26,29400005,"Azúcares químicamente puros, excepto la sacarosa, ",ALULOSA EN LIQUIDO,ID_ANONIMO,Importador 5,MANZANILLO MANZANILLO COLIMA.,CHINA,6001011,48880.01,869854,17.79,42753.0,20800,KILOGRAM,20800,Kilogram,ID_ANONIMO,Proveedor 2,UNITED STATES OF AMERICA,2026-04-08,20800,2.35
14,4,26,29400005,"Azúcares químicamente puros, excepto la sacarosa, ",ALULOSA CRISTALINA,ID_ANONIMO,Importador 3,MANZANILLO MANZANILLO COLIMA.,CHINA,6001743,85199.97,1479012,17.35,41200.0,40000,KILOGRAM,40000,Kilogram,ID_ANONIMO,Proveedor 17,CHINA,2026-04-14,40000,2.13
28,4,26,29400005,"Azúcares químicamente puros, excepto la sacarosa, ",ALULOSA EN POLVO ALLULOSE POWDER,ID_ANONIMO,Importador 2,MANZANILLO MANZANILLO COLIMA.,CHINA,6003246,54288.0,940936,17.33,24200.8,23400,KILOGRAM,23400,Kilogram,ID_ANONIMO,Proveedor 9,CHINA,2026-04-28,23400,2.32
10,4,26,29400005,"Azúcares químicamente puros, excepto la sacarosa, ",ALULOSA,ID_ANONIMO,Importador 16,MANZANILLO MANZANILLO COLIMA.,CHINA,6003777,27414.18,426192,17.75,19390.0,10000,KILOGRAM,10000,Kilogram,ID_ANONIMO,Proveedor 3,CHINA,2026-04-10,10000,2.741
